t,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,arousal,valence
2.3684,0.9943,0.0048,0.0001,0.0000,0.0000,0.0007,0.0001,0.0000,-0.0333,0.0019
2.4106,0.9739,0.0230,0.0001,0.0000,0.0000,0.0028,0.0001,0.0000,0.0011,0.0264
2.4529,0.9809,0.0059,0.0015,0.0000,0.0000,0.0103,0.0014,0.0000,0.0250,-0.1071
2.4952,0.9368,0.0005,0.0530,0.0000,0.0004,0.0081,0.0012,0.0000,-0.0425,-0.2029
2.5375,0.5454,0.0004,0.3655,0.0003,0.0164,0.0435,0.0285,0.0000,0.0805,-0.2321
2.5798,0.8378,0.0005,0.1048,0.0004,0.0173,0.0280,0.0113,0.0000,0.1092,-0.1826
2.6221,0.6893,0.0003,0.1121,0.0003,0.0668,0.0712,0.0600,0.0000,0.1623,-0.2280
2.6644,0.8478,0.0001,0.1170,0.0001,0.0038,0.0259,0.0052,0.0000,0.0187,-0.2543
2.7067,0.9509,0.0002,0.0375,0.0000,0.0007,0.0074,0.0033,0.0000,0.0056,-0.2181
2.7490,0.9468,0.0002,0.0279,0.0001,0.0028,0.0171,0.0051,0.0000,0.0653,-0.1864
2.7913,0.8391,0.0001,0.0638,0.0002,0.0326,0.0574,0.0067,0.0000,0.1348,-0.1979
2.8336,0.7361,0.0001,0.1679,0.0005,0.0136,0.0528,0.0291,0.0000,0.0960,-0.2509
2.8759,0.7066,0.0007,0.1671,0.0004,0.0242,0.0829,0.0181,0.0000,0.0905,-0.2038
2.9181,0.8104,0.0001,0.1032,0.0002,0.0324,0.0398,0.0139,0.0000,0.1127,-0.2165
2.9604,0.7886,0.0001,0.0012,0.0002,0.0495,0.0092,0.1512,0.0000,0.2590,-0.1404
3.0027,0.5978,0.0002,0.0047,0.0002,0.0548,0.0425,0.2998,0.0000,0.2697,-0.1655
3.0450,0.8999,0.0001,0.0272,0.0001,0.0086,0.0125,0.0517,0.0000,0.1398,-0.2110
3.0873,0.8610,0.0003,0.1181,0.0001,0.0008,0.0190,0.0009,0.0000,-0.0403,-0.2295
3.1296,0.9537,0.0002,0.0322,0.0000,0.0010,0.0124,0.0005,0.0000,-0.0270,-0.2055
3.1719,0.8932,0.0005,0.0662,0.0002,0.0030,0.0217,0.0153,0.0000,0.0653,-0.1821
3.2142,0.9090,0.0003,0.0318,0.0001,0.0063,0.0249,0.0276,0.0000,0.1254,-0.1792
3.2565,0.8089,0.0002,0.1253,0.0001,0.0037,0.0453,0.0164,0.0000,0.0607,-0.2329
3.2988,0.7900,0.0001,0.1345,0.0002,0.0040,0.0603,0.0108,0.0000,0.0536,-0.2587
3.3411,0.7873,0.0001,0.1221,0.0002,0.0029,0.0677,0.0197,0.0000,0.0641,-0.2566
3.3834,0.8625,0.0001,0.0596,0.0001,0.0022,0.0626,0.0128,0.0000,0.0650,-0.2504
3.4257,0.7645,0.0009,0.1330,0.0002,0.0043,0.0786,0.0185,0.0000,0.0666,-0.2185
3.4679,0.9671,0.0003,0.0167,0.0001,0.0027,0.0129,0.0003,0.0000,0.0524,-0.1748
3.5102,0.7525,0.0012,0.1148,0.0003,0.0137,0.1008,0.0167,0.0000,0.0895,-0.2019
3.5525,0.5662,0.0013,0.2657,0.0002,0.0087,0.1469,0.0110,0.0000,0.0461,-0.2462
3.5948,0.8932,0.0023,0.0040,0.0004,0.0315,0.0587,0.0098,0.0000,0.2086,-0.0658
3.6371,0.8529,0.0016,0.0355,0.0004,0.0095,0.0943,0.0059,0.0000,0.1144,-0.1519
3.6794,0.8979,0.0005,0.0318,0.0004,0.0052,0.0564,0.0078,0.0000,0.1006,-0.1654
3.7217,0.9171,0.0012,0.0272,0.0001,0.0021,0.0477,0.0045,0.0000,0.0544,-0.1528
3.7640,0.8076,0.0005,0.1333,0.0001,0.0026,0.0473,0.0086,0.0000,0.0307,-0.2427
3.8063,0.8908,0.0004,0.0582,0.0001,0.0015,0.0449,0.0041,0.0000,0.0308,-0.2218
3.8486,0.8678,0.0007,0.0681,0.0001,0.0013,0.0581,0.0039,0.0000,0.0316,-0.2263
3.8909,0.9485,0.0010,0.0338,0.0001,0.0022,0.0144,0.0001,0.0000,-0.0154,-0.1562
3.9332,0.8550,0.0010,0.0183,0.0003,0.0053,0.1144,0.0058,0.0000,0.1257,-0.1710
3.9754,0.7445,0.0013,0.1317,0.0004,0.0064,0.1091,0.0065,0.0000,0.0674,-0.2234
4.0177,0.7758,0.0008,0.1186,0.0002,0.0023,0.0972,0.0051,0.0000,0.0297,-0.2370
4.0600,0.9869,0.0003,0.0090,0.0000,0.0003,0.0034,0.0001,0.0000,-0.0261,-0.1308
4.1023,0.9404,0.0004,0.0269,0.0001,0.0035,0.0276,0.0011,0.0000,0.0317,-0.1632
4.1446,0.9955,0.0002,0.0040,0.0000,0.0001,0.0002,0.0000,0.0000,-0.1084,-0.0686
4.1869,0.9147,0.0007,0.0319,0.0001,0.0038,0.0484,0.0005,0.0000,0.0194,-0.1619
4.2292,0.9907,0.0001,0.0053,0.0000,0.0002,0.0037,0.0001,0.0000,-0.0356,-0.1451
4.2715,0.9643,0.0001,0.0264,0.0000,0.0002,0.0086,0.0004,0.0000,-0.0613,-0.2275
4.3138,0.9784,0.0001,0.0170,0.0000,0.0001,0.0043,0.0001,0.0000,-0.0922,-0.1978
4.3561,0.9817,0.0000,0.0160,0.0000,0.0001,0.0021,0.0001,0.0000,-0.1097,-0.1943
4.3984,0.9449,0.0001,0.0267,0.0000,0.0028,0.0249,0.0006,0.0000,0.0086,-0.1822
4.4407,0.8030,0.0001,0.1553,0.0002,0.0013,0.0333,0.0069,0.0000,0.0086,-0.2514
4.4830,0.3277,0.0008,0.4718,0.0003,0.0101,0.1593,0.0300,0.0000,0.0677,-0.2518
4.5252,0.3037,0.0004,0.6229,0.0001,0.0028,0.0598,0.0104,0.0000,-0.0029,-0.2833
4.5675,0.4186,0.0003,0.4695,0.0002,0.0047,0.0845,0.0221,0.0000,0.0415,-0.2831
